Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short),,
Tb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bk,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Dy,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cf,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ho,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Es,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Er,400.796,1,1.73,15,13,3.093,0,1.06E-04,2.01E-05,,
Er,300.2406,2,2.569,14,16,4.975,0.846,3.20E-05,2.48E-05,,
Er,394.4421,1,5.279,11,9,3.767,0.624,3.15E-05,1.13E-05,,
Er,402.0513,1,6.403,13,11,3.946,0.863,2.73E-05,1.12E-05,,
Er,318.1925,2,6.69,8,10,5.265,1.369,2.50E-05,2.08E-05,,
Fm,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Th,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Md,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Yb,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
No,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lu,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lr,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
