# Wavelengths	Intensities
 343.42963	1433.57812
 343.63949	1456.10578
 343.84933	1439.72203
 344.05917	1507.30500
 344.26899	1474.53750
 344.47880	1327.08375
 344.68860	1339.37156
 344.89840	1425.38625
 345.10818	1423.33828
 345.31795	1443.81797
 345.52771	1421.29031
 345.73745	1351.65937
 345.94719	1482.72937
 346.15692	1515.49688
 346.36663	1433.57812
 346.57634	1472.48953
 346.78603	1454.05781
 346.99571	1472.48953
 347.20539	1452.00984
 347.41505	1492.96922
 347.62470	1490.92125
 347.83434	1449.96187
 348.04397	1419.24234
 348.25358	1456.10578
 348.46319	1415.14641
 348.67279	1447.91391
 348.88237	1482.72937
 349.09195	1431.53016
 349.30151	1441.77000
 349.51106	1400.81063
 349.72060	1474.53750
 349.93013	1503.20906
 350.13965	1449.96187
 350.34916	1445.86594
 350.55866	1417.19438
 350.76815	1409.00250
 350.97762	1445.86594
 351.18709	1445.86594
 351.39654	1466.34562
 351.60599	1402.85859
 351.81542	1452.00984
 352.02484	1490.92125
 352.23425	1437.67406
 352.44365	1460.20172
 352.65304	1501.16109
 352.86242	1429.48219
 353.07179	1468.39359
 353.28114	1488.87328
 353.49049	1497.06516
 353.69982	1425.38625
 353.90914	1464.29766
 354.11846	1454.05781
 354.32776	1472.48953
 354.53705	1497.06516
 354.74633	1388.52281
 354.95560	1527.78469
 355.16485	1437.67406
 355.37410	1441.77000
 355.58334	1482.72937
 355.79256	1423.33828
 356.00177	1495.01719
 356.21098	1460.20172
 356.42017	1484.77734
 356.62935	1427.43422
 356.83852	1454.05781
 357.04768	1441.77000
 357.25683	1382.37891
 357.46596	1404.90656
 357.67509	1464.29766
 357.88420	1411.05047
 358.09331	1474.53750
 358.30240	1404.90656
 358.51148	1466.34562
 358.72055	1470.44156
 358.92961	1411.05047
 359.13866	1411.05047
 359.34770	1472.48953
 359.55673	1443.81797
 359.76574	1445.86594
 359.97475	1447.91391
 360.18374	1409.00250
 360.39272	1421.29031
 360.60170	1507.30500
 360.81066	1443.81797
 361.01961	1443.81797
 361.22855	1441.77000
 361.43747	1406.95453
 361.64639	1409.00250
 361.85530	1441.77000
 362.06419	1447.91391
 362.27307	1452.00984
 362.48195	1409.00250
 362.69081	1402.85859
 362.89966	1476.58547
 363.10850	1411.05047
 363.31733	1370.09109
 363.52614	1413.09844
 363.73495	1464.29766
 363.94374	1433.57812
 364.15253	1415.14641
 364.36130	1466.34562
 364.57006	1478.63344
 364.77881	1429.48219
 364.98755	1458.15375
 365.19628	1509.35297
