Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short)
Li,168.166,2,10.069,5,3,69.589,62.216,2.53E-54,2.53E-54
Li,165.313,2,1.5881,3,5,68.781,61.281,1.01E-54,1.01E-54
Li,165.308,2,0.95283,3,3,68.781,61.281,6.08E-55,6.08E-55
Li,165.321,2,0.31761,3,1,68.781,61.281,2.03E-55,2.03E-55
Li,175.533,2,2.0499,1,3,69.28,62.216,1.79E-55,1.79E-55
Li,387.8838,2,3.81E-07,3,3,62.216,59.021,3.03E-56,3.03E-56
Li,467.165,2,2.2133,9,7,72.239,69.585,8.82E-57,8.82E-57
Li,467.806,2,1.5931,7,5,72.239,69.589,4.94E-57,4.94E-57
Li,467.151,2,1.4221,7,5,72.239,69.585,4.41E-57,4.41E-57
Li,467.17,2,1.8592,5,3,72.239,69.585,4.12E-57,4.12E-57
Li,432.542,2,1.0762,7,5,72.235,69.369,3.36E-57,3.36E-57
Li,478.836,2,1.1368,5,3,72.237,69.648,2.52E-57,2.52E-57
Li,467.829,2,0.6172,7,5,72.239,69.589,1.91E-57,1.91E-57
Li,432.5342,2,0.80701,5,3,72.235,69.369,1.80E-57,1.80E-57
Li,467.14,2,0.5453,7,5,72.239,69.585,1.69E-57,1.69E-57
Li,488.139,2,0.39642,3,5,71.909,69.369,9.49E-58,9.49E-58
Li,168.2523,2,0.003401,5,3,69.585,62.216,8.60E-58,8.60E-58
Li,368.432,2,0.30587,5,3,72.145,68.781,8.00E-58,8.00E-58
Li,432.5784,2,0.59789,3,1,72.235,69.369,7.99E-58,7.99E-58
Li,467.151,2,0.34415,5,5,72.239,69.585,7.62E-58,7.62E-58
Li,432.542,2,0.44842,3,3,72.235,69.369,6.00E-58,6.00E-58
Li,432.547,2,0.26901,5,5,72.235,69.369,5.99E-58,5.99E-58
Li,488.132,2,0.23783,3,3,71.909,69.369,5.69E-58,5.69E-58
Li,467.165,2,0.17326,7,7,72.239,69.585,5.37E-58,5.37E-58
Li,368.47,2,0.3058,3,3,72.145,68.781,4.80E-58,4.80E-58
Li,415.645,2,0.34105,3,1,72.262,69.28,4.35E-58,4.35E-58
Li,319.633,2,0.73144,9,7,73.463,69.585,3.27E-58,3.27E-58
Li,503.792,2,0.53935,1,3,72.109,69.648,3.01E-58,3.01E-58
Li,467.153,2,0.07265,7,7,72.239,69.585,2.25E-58,2.25E-58
Li,484.292,2,0.078286,5,7,72.145,69.585,2.05E-58,2.05E-58
Li,319.933,2,0.58056,7,5,73.463,69.589,2.02E-58,2.02E-58
Li,302.912,2,0.55732,7,5,73.461,69.369,1.95E-58,1.95E-58
Li,488.149,2,0.079292,3,1,71.909,69.369,1.90E-58,1.90E-58
Li,319.626,2,0.51903,7,5,73.463,69.585,1.81E-58,1.81E-58
Li,368.4754,2,0.3058,1,3,72.145,68.781,1.60E-58,1.60E-58
