wavelength,element_symbol,ionization_level,relative_intensity,concentration,units
334.417,Zn,1,0.14900444791402562,1.5,au
334.417,Zn,1,0.1297761772944441,1.5,au
330.254,Zn,1,0.13427447487279873,1.5,au
330.254,Zn,1,0.10106577300566892,1.5,au
330.254,Zn,1,0.11241958243749395,1.5,au
330.254,Zn,1,0.07567478867393192,1.5,au
330.254,Zn,1,0.1309375550287007,1.5,au
330.254,Zn,1,0.13401217257959405,1.5,au
330.254,Zn,1,0.09573022216692471,1.5,au
330.254,Zn,1,0.10936942256563506,1.5,au
330.254,Zn,1,0.08599872844044641,1.5,au
468.008,Zn,1,0.13435186025255036,1.5,au
468.008,Zn,1,0.1156997682932558,1.5,au
468.008,Zn,1,0.12604679929631477,1.5,au
468.008,Zn,1,0.08723467478910413,1.5,au
468.008,Zn,1,0.13370454275308902,1.5,au
468.008,Zn,1,0.13392118392322805,1.5,au
468.008,Zn,1,0.10015782855049933,1.5,au
468.008,Zn,1,0.11805167018190658,1.5,au
468.008,Zn,1,0.09888906264262227,1.5,au
179.48,Zn,1,0.11205429747797717,1.5,au
179.48,Zn,1,0.09800893343608738,1.5,au
179.48,Zn,1,0.10585308530936115,1.5,au
179.48,Zn,1,0.07169942093851794,1.5,au
179.48,Zn,1,0.11023400828408383,1.5,au
179.48,Zn,1,0.10905462010338382,1.5,au
179.48,Zn,1,0.08278010491445915,1.5,au
179.48,Zn,1,0.09347827610682041,1.5,au
179.48,Zn,1,0.07956555890730704,1.5,au
328.171,Zn,1,0.13764860238234805,1.5,au
328.171,Zn,1,0.14066087009303868,1.5,au
328.171,Zn,1,0.15123860417465704,1.5,au
328.171,Zn,1,0.0875363812463394,1.5,au
328.171,Zn,1,0.14018899541028165,1.5,au
328.171,Zn,1,0.1352126099212015,1.5,au
328.171,Zn,1,0.095836239111039,1.5,au
328.171,Zn,1,0.11228429125484096,1.5,au
328.171,Zn,1,0.0922023431254109,1.5,au
636.28,Zn,1,0.18361500074404144,1.5,au
636.28,Zn,1,0.1629618830297289,1.5,au
636.28,Zn,1,0.1703869005474506,1.5,au
636.28,Zn,1,0.11970538160436969,1.5,au
636.28,Zn,1,0.1826566528030264,1.5,au
636.28,Zn,1,0.18182196441912077,1.5,au
636.28,Zn,1,0.1384467034421005,1.5,au
636.28,Zn,1,0.1628606797138003,1.5,au
636.28,Zn,1,0.13948599976507653,1.5,au
307.497,Zn,1,0.14976542008664312,1.5,au
307.497,Zn,1,0.1838973406131334,1.5,au
307.497,Zn,1,0.18844645906224014,1.5,au
307.497,Zn,1,0.10854001336193639,1.5,au
307.497,Zn,1,0.15447965779318357,1.5,au
307.497,Zn,1,0.15549638610520905,1.5,au
307.497,Zn,1,0.11060986769579573,1.5,au
307.497,Zn,1,0.13810224542304128,1.5,au
307.497,Zn,1,0.11341376904397492,1.5,au
334.625,Zn,1,0.17586535363362205,1.5,au
334.625,Zn,1,0.2612783675611963,1.5,au
334.625,Zn,1,0.25897526746518396,1.5,au
334.625,Zn,1,0.14197124672543987,1.5,au
334.625,Zn,1,0.18794550846804697,1.5,au
334.625,Zn,1,0.18543625628721358,1.5,au
334.625,Zn,1,0.13338974294596767,1.5,au
334.625,Zn,1,0.16349853620863972,1.5,au
334.625,Zn,1,0.14717435043250343,1.5,au
330.254,Zn,1,0.13427447487279873,1.5,au
330.254,Zn,1,0.10106577300566892,1.5,au
330.254,Zn,1,0.11241958243749395,1.5,au
330.254,Zn,1,0.07567478867393192,1.5,au
330.254,Zn,1,0.1309375550287007,1.5,au
330.254,Zn,1,0.13401217257959405,1.5,au
330.254,Zn,1,0.09573022216692471,1.5,au
330.254,Zn,1,0.10936942256563506,1.5,au
330.254,Zn,1,0.08599872844044641,1.5,au
279.998,Zn,1,0.3867149829336906,1.5,au
279.998,Zn,1,0.3112866041992513,1.5,au
279.998,Zn,1,0.33137993219444556,1.5,au
279.998,Zn,1,0.2384768095665631,1.5,au
279.998,Zn,1,0.3500366555891761,1.5,au
279.998,Zn,1,0.3496964895080049,1.5,au
279.998,Zn,1,0.27322245430714276,1.5,au
279.998,Zn,1,0.32015363388493806,1.5,au
279.998,Zn,1,0.2899991795545281,1.5,au
277.05,Zn,1,0.19401926158600816,1.5,au
