Wavelength	Intensity
404.857403	6602.867543
405.063959	6862.247824
405.270503	7239.755230
405.477035	7346.133530
405.683556	8060.098987
405.890065	8263.237511
406.096562	8674.815343
406.303048	9422.889018
406.509523	9144.197004
406.715985	9572.063206
406.922437	9600.692477
407.128876	9970.639676
407.335304	9675.069915
407.541721	9042.236774
407.748126	9385.705248
407.954519	9007.138764
408.160901	8474.866647
408.367271	8316.674559
408.573630	7893.209330
408.779976	8765.793386
408.986312	7889.962813
409.192635	8101.105152
409.398947	7917.785854
409.605248	7856.847986
409.811537	8008.405772
410.017814	7714.663527
410.224080	7644.178669
410.430334	7391.885296
410.636576	7509.958432
410.842807	7746.830853
411.049026	7154.979582
411.255233	7327.538945
411.461429	7292.557012
411.667613	7225.063124
411.873786	6759.359889
412.079946	7105.522396
412.286096	6830.117390
412.492233	6682.187640
412.698359	6416.783127
412.904473	6331.042882
413.110576	6717.572689
413.316667	6732.469052
413.522746	6640.228575
413.728814	6598.819295
413.934870	6974.958990
414.140914	6628.099130
414.346947	6858.505512
414.552968	6857.235879
414.758977	6614.038690
414.964975	6910.104246
415.170960	6957.006870
415.376935	6593.109997
415.582897	6494.357592
415.788848	6102.556695
415.994787	6194.920446
416.200715	6512.312411
416.406630	6359.154762
416.612534	6229.543355
416.818427	6207.939804
417.024307	6515.554429
417.230176	6567.956694
417.436033	7089.038767
417.641879	6720.824604
417.847713	7212.776212
418.053535	6369.230841
418.259345	6689.001905
418.465144	6708.576383
418.670931	6519.250850
418.876706	6544.286278
419.082469	6589.082445
419.288221	6193.332280
419.493961	6131.315540
419.699689	5946.504356
419.905406	6102.068098
420.111110	5892.236783
420.316803	6318.367251
420.522485	6385.810749
